id,classification,subClassification,length,width,thickness,diameter,weight,quantity,broadperiod,fromdate,todate,district
470727,,,55.1,34.45,12.38,,18.44,1,NEOLITHIC,-2500,-1500,Suffolk Coastal
228427,,,48.73,28.16,12.49,,14,1,NEOLITHIC,-3500,-2900,East Riding of Yorkshire
290591,,,36.03,20,13.91,,2.7,1,NEOLITHIC,-4000,-3200,Mendip
444880,,,38,,14,,,1,MEDIEVAL,1100,1500,Sheffield
401884,,,21.24,,14.36,,1,1,NEOLITHIC,-3000,-2000,Mole Valley
536522,Arrowhead,,69.16,30.36,14.97,,32.8,1,NEOLITHIC,-4000,-2100,South Oxfordshire
3107,,,26,17,15,,,1,PALAEOLITHIC,-500000,43,Maidstone
777724,Tanged,,30,,15,,,1,NEOLITHIC,-2000,-1500,North Kesteven
227074,Leaf,,40,17,15.5,,3.35,1,NEOLITHIC,-3500,-2900,Wiltshire
283078,,,30.76,16.93,16.72,,,1,NEOLITHIC,-2500,-2100,Calderdale
400592,,,74.74,19.45,19.44,,13.64,1,MEDIEVAL,1100,1300,West Lindsey
283102,,,36.52,20.55,21.2,,,1,NEOLITHIC,-3500,-2100,Calderdale
94747,tanged,,25,12,24,,1.18,1,NEOLITHIC,-3500,-2100,Wiltshire
97583,Military,,29,,25,,,1,MEDIEVAL,1200,1500,Central Bedfordshire
487737,,,3,2.5,,,,1,BRONZE AGE,-2500,-1500,Daventry
540341,Leaf,,14.42,15.94,,,0.9,1,NEOLITHIC,-3500,-2100,Malvern Hills
80224,,,15,16,,,0.73,1,NEOLITHIC,,,North Devon
436854,,,18,17,,,,1,NEOLITHIC,-2150,-1500,North Kesteven
72994,,,18,15,,,,1,NEOLITHIC,,,Northumberland
420223,Flint arrowhead,,19.6,21.8,,,1.53,1,NEOLITHIC,4000,2000,East Riding of Yorkshire
72637,,,20,20,,,,1,NEOLITHIC,,,Northumberland
80220,,,20,15,,,0.78,1,BRONZE AGE,,,North Devon
50973,barbed and tanged,,20.5,18,,,1.37,1,BRONZE AGE,,,North Lincolnshire
65287,Tanged,,20.8,14.5,,,1.17,1,BRONZE AGE,-2150,-1500,Stratford-on-Avon
47470,Barbed and tanged,,21,17,,,,1,BRONZE AGE,,,Ryedale
87613,,,21.96,,,,,1,MEDIEVAL,1066,1300,Uttlesford
409694,,,22,21,,,1.7,1,NEOLITHIC,-3000,-2000,West Lindsey
67955,,,22,19,,,,1,BRONZE AGE,-2150,-1500,Mid Suffolk
118561,,,22,17,,,0.7,1,BRONZE AGE,-2000,-1500,East Hampshire
88492,,,22,25,,,1.94,1,BRONZE AGE,-2000,,Guildford
161975,,,22.58,15.68,,,1.33,1,NEOLITHIC,-2500,-1500,Rugby
409197,,,22.78,21.22,,,1.64,1,BRONZE AGE,-2000,-1500,Waverley
102265,Barb and Tanged,,22.88,24.14,,,2.7,1,NEOLITHIC,-2500,-1500,Stratford-on-Avon
66277,,,23,16,,,,1,NEOLITHIC,-3500,-2100,Rutland
269249,,,23,23,,,1.19,1,BRONZE AGE,-2300,-600,Eden
462215,Barbed and Tanged,,23.4,17.1,,,1.14,1,BRONZE AGE,-2500,-1500,East Lindsey
401922,,,23.82,15.41,,,1.32,1,NEOLITHIC,-3000,-2000,Mole Valley
78436,,,24,14,,,0.8,1,NEOLITHIC,,,
80680,,,24,20,,,1.62,1,BRONZE AGE,,,Reigate and Banstead
445397,,,24.5,19.5,,,12.3,1,BRONZE AGE,-2150,-1500,South Northamptonshire
114859,Leaf-Shaped,,24.53,15.71,,,1.7,1,NEOLITHIC,-3500,-2900,Worcester
185793,,,24.64,25.73,,,1.73,1,BRONZE AGE,-2150,1900,Forest Heath
396999,,,24.76,21.88,,,1.8,1,BRONZE AGE,-2500,-1500,Stratford-on-Avon
510460,,,24.87,17.89,,,1.3,1,NEOLITHIC,-3500,-2100,Richmondshire
184792,leaf shaped,,25,13.3,,,0.72,1,NEOLITHIC,-3500,-2100,North Lincolnshire
6177,,,25,21.5,,,,1,BRONZE AGE,-2500,-700,Cheshire West and Chester
437432,,,25.61,16.85,,,1.42,1,NEOLITHIC,-6000,-2000,Guildford
138515,,,25.73,24.48,,,2.61,1,NEOLITHIC,-2500,-2100,Stratford-on-Avon
194908,Barbed and Tanged,,26,18.5,,,,1,BRONZE AGE,-2150,-1500,Bath and North East Somerset
58750,,,26.69,21.9,,,,1,NEOLITHIC,-2500,-2150,Northumberland
139211,,,26.79,18.55,,,1.4,1,NEOLITHIC,,,Northumberland
157913,,,27,25,,,,1,NEOLITHIC,-3200,1500,South Cambridgeshire
51654,,,27,20,,,1.53,1,BRONZE AGE,-2500,-1500,North Norfolk
710134,Green's Sutton A,,27,,,,,1,NEOLITHIC,-2500,-1500,South Kesteven
88493,,,27,20,,,1.58,1,BRONZE AGE,-2000,-1500,Waverley
80278,,,27.5,18,,,2.25,1,NEOLITHIC,,,Waverley
437436,,,27.68,18.82,,,1.78,1,BRONZE AGE,-2000,-1500,Guildford
47476,Trenchet arrowhead,,28,20,,,,1,NEOLITHIC,-4000,-2200,Ryedale
140002,,,28.08,16.83,,,1.74,1,NEOLITHIC,-3500,-2900,Rugby
472255,,,28.1,18.3,,,1.6,1,BRONZE AGE,-2500,-1500,Warwick
216174,,,28.38,12.99,,,1.3,1,NEOLITHIC,-3500,-2900,Malvern Hills
268992,,,29,20.2,,,,1,MESOLITHIC,-6500,-2900,Bassetlaw
47471,Leaf-shaped,,29,22,,,,1,NEOLITHIC,-4000,-2200,Ryedale
47472,Leaf-shaped,,29,21,,,,1,NEOLITHIC,-4000,-2200,Ryedale
837248,,,29.03,22.48,,,2.85,1,NEOLITHIC,-4500,-1500,Mole Valley
437427,,,29.13,16.62,,,2.78,1,NEOLITHIC,-6000,-2000,Guildford
142368,,,29.5,16,,,1.85,1,NEOLITHIC,-3500,-2900,Vale of White Horse
53963,,,29.69,15.75,,,1.6,1,NEOLITHIC,-3500,-2900,North Tyneside
110759,,,30,17,,,1.8,1,NEOLITHIC,-3500,-2100,North Norfolk
41518,,,30,20,,,,1,BRONZE AGE,-2500,-700,Cheshire East
470876,,,30,8,,,,1,MEDIEVAL,1300,1500,Lancaster
25581,Leaf-shaped arrowhead,,30.2,22.65,,,3.12,1,NEOLITHIC,-4000,-2200,Stratford-on-Avon
118701,Oblique,,30.3,22.7,,,2.31,1,NEOLITHIC,-3500,-2100,North Lincolnshire
401919,,,30.66,14.42,,,2.15,1,NEOLITHIC,-3000,-2000,Mole Valley
408348,,,30.82,16.15,,,1.86,1,NEOLITHIC,-3500,-2000,South Oxfordshire
578905,,,31,16,,,,1,NEOLITHIC,,,Mid Devon
401915,,,31.67,,,,2.44,1,NEOLITHIC,-3000,-2000,Mole Valley
47474,Transverse arrowhead,,32,22,,,,1,NEOLITHIC,-4000,-2200,Ryedale
47477,Trenchet arrowhead,,32,25,,,,1,NEOLITHIC,-4000,-2200,Ryedale
73485,,,32,15.1,,,2.25,1,NEOLITHIC,-2900,-2500,Stratford-on-Avon
128756,,,32,39,,,,1,NEOLITHIC,-2500,-2100,East Cambridgeshire
75256,,,32,32,,,3.48,1,NEOLITHIC,-2000,,Woking
411587,,,32,20,,,,1,NEOLITHIC,,,Cornwall
144802,,,32.18,17.41,,,2.1,1,NEOLITHIC,-3500,-2900,Rugby
137384,Transverse,,32.3,18.9,,,2.03,1,NEOLITHIC,-2500,-2100,North Lincolnshire
67918,,,34,13,,,7.03,1,BRONZE AGE,-1500,-800,Mid Suffolk
113854,,,34,7,,,2.67,1,IRON AGE,800,100,Charnwood
217784,,,34,21,,,2.8,1,NEOLITHIC,2400,1500,Wirral
508493,,,34.92,21.65,,,3.3,8,NEOLITHIC,-2500,-1500,West Oxfordshire
80732,,,35,26,,,,1,NEOLITHIC,-3500,-2100,Kirklees
128064,,,35,27,,,2.7,1,NEOLITHIC,-3500,-1500,Stratford-on-Avon
30061,,flint,35,15,,,,1,NEOLITHIC,-2500,-2150,West Lindsey
217785,,,35,18,,,3.2,1,NEOLITHIC,-2400,-1500,Wirral
24364,Trinchet arrowhead,,35.1,19.31,,,,1,NEOLITHIC,-4000,-2200,Lichfield
133645,,,35.2,31.4,,,4.47,1,NEOLITHIC,-2500,-2100,North Lincolnshire
105822,,,35.5,22,,,4.34,1,NEOLITHIC,-3500,-2100,Hinckley and Bosworth
70924,,,36,21,,,3.4,1,NEOLITHIC,-2500,-1500,Forest Heath
